   inst_id   n_scen          opt        rank1    rank1_gap  top1pct_avg_gap
         0    59049       0.3497       0.3497       0.0000           0.0038
         1     6561       0.3233       0.3233       0.0000           0.0547
         2     6561       0.3454       0.3454       0.0000           0.0001
         3      729       0.3454       0.3454       0.0000           0.0138
         4      729       0.3395       0.3395       0.0000           0.0094
         5      729       0.3471       0.3471       0.0001           0.0001
         6    59049       0.3451       0.3451       0.0000           0.0262
         7    59049       0.3503       0.3503       0.0000           0.0095
         8    59049       0.3473       0.3473       0.0000           0.0182
         9    59049       0.3494       0.3494       0.0000           0.0049
        10      729       0.2856       0.2856       0.0002           0.0445
        11       81       0.3420       0.3420       0.0001           0.0000
        12       81       0.3443       0.3443       0.0001           0.0000
        13        9       0.3585       0.3585       0.0001           0.0000
        14        9       0.3543       0.3545       0.0003           0.0000
        15        9       0.3518       0.3525       0.0020           0.0000
        16     6561       0.3507       0.3507       0.0000           0.0001
        17     6561       0.3459       0.3459       0.0000           0.0002
        18        9       0.3585       0.3585       0.0001           0.0000
        19     6561       0.3341       0.3341       0.0001           0.0003
        20        9       0.3305       0.4278       0.2945           0.0000
        21       81       0.3461       0.3497       0.0104           0.0000
        22       81       0.3729       0.3730       0.0002           0.0000
        23    59049       0.3478       0.3478       0.0000           0.0110
        24       81       0.3507       0.3507       0.0001           0.0000
        25    59049       0.3479       0.3479       0.0000           0.0103
        26      729       0.3382       0.3382       0.0000           0.0162
        27      729       0.3475       0.3476       0.0001           0.0001
        28      729       0.3457       0.3457       0.0001           0.0002
        29    59049       0.3514       0.3514       0.0000           0.0001
