   inst_id   n_scen  true_rank_of_chosen   percentile  gap_to_true_opt
         0    59049                 1141       0.0193           0.0102
         1     6561                  601       0.0916           0.3102
         2     6561                  386       0.0588           0.0547
         3      729                   74       0.1016           0.0553
         4      729                   73       0.1003           0.1253
         5      729                   56       0.0769           0.0365
         6    59049                 1441       0.0244           0.0680
         7    59049                 1142       0.0193           0.0255
         8    59049                 1386       0.0235           0.0489
         9    59049                 1141       0.0193           0.0130
        10      729                  150       0.2060           0.8104
        11       81                   12       0.1500           0.0906
        12       81                   12       0.1500           0.0660
        13        9                    2       0.2500           0.0001
        14        9                    1       0.1250           0.0003
        15        9                    2       0.2500           0.0020
        16     6561                  326       0.0497           0.0003
        17     6561                  265       0.0404           0.0648
        18        9                    2       0.2500           0.0001
        19     6561                  553       0.0843           0.1759
        20        9                    2       0.2500           0.2946
        21       81                   14       0.1750           0.0493
        22       81                   10       0.1250           0.0005
        23    59049                 1386       0.0235           0.0295
        24       81                   13       0.1625           0.0673
        25    59049                 1142       0.0193           0.0280
        26      729                   66       0.0907           0.1323
        27      729                   61       0.0838           0.0337
        28      729                   61       0.0838           0.0559
        29    59049                  766       0.0130           0.0003
