inst_idx,program_dir,s,num_scenarios,rank_of_true_optimum,percentile_rank_of_true_optimum
0,programs/generated/gen_0000,2,9,0,0.0
1,programs/generated/gen_0001,2,9,0,0.0
2,programs/generated/gen_0002,8,6561,1771,26.996951219512194
3,programs/generated/gen_0003,8,6561,1360,20.73170731707317
4,programs/generated/gen_0004,6,729,5,0.6868131868131868
5,programs/generated/gen_0005,6,729,248,34.065934065934066
6,programs/generated/gen_0006,8,6561,3419,52.11890243902439
7,programs/generated/gen_0007,6,729,15,2.0604395604395602
8,programs/generated/gen_0008,8,6561,1187,18.09451219512195
9,programs/generated/gen_0009,6,729,287,39.42307692307692
10,programs/generated/gen_0010,4,81,41,51.25
11,programs/generated/gen_0011,10,59049,0,0.0
12,programs/generated/gen_0012,4,81,0,0.0
13,programs/generated/gen_0013,2,9,0,0.0
14,programs/generated/gen_0014,4,81,27,33.75
15,programs/generated/gen_0015,6,729,159,21.84065934065934
16,programs/generated/gen_0016,6,729,28,3.8461538461538463
17,programs/generated/gen_0017,10,59049,28114,47.61211217992142
18,programs/generated/gen_0018,8,6561,2074,31.615853658536587
19,programs/generated/gen_0019,2,9,4,50.0
20,programs/generated/gen_0020,8,6561,2351,35.83841463414634
21,programs/generated/gen_0021,8,6561,1222,18.628048780487806
22,programs/generated/gen_0022,2,9,0,0.0
23,programs/generated/gen_0023,8,6561,2606,39.72560975609756
24,programs/generated/gen_0024,4,81,39,48.75
25,programs/generated/gen_0025,2,9,4,50.0
26,programs/generated/gen_0026,8,6561,678,10.335365853658537
27,programs/generated/gen_0027,10,59049,5097,8.63196043896491
28,programs/generated/gen_0028,4,81,23,28.75
29,programs/generated/gen_0029,10,59049,88,0.14903129657228018
30,programs/generated/gen_0030,8,6561,98,1.4939024390243902
31,programs/generated/gen_0031,4,81,0,0.0
32,programs/generated/gen_0032,2,9,4,50.0
33,programs/generated/gen_0033,8,6561,965,14.710365853658537
34,programs/generated/gen_0034,6,729,270,37.08791208791209
35,programs/generated/gen_0035,2,9,4,50.0
36,programs/generated/gen_0036,4,81,41,51.25
37,programs/generated/gen_0037,2,9,4,50.0
38,programs/generated/gen_0038,2,9,4,50.0
39,programs/generated/gen_0039,2,9,4,50.0
40,programs/generated/gen_0040,8,6561,4081,62.21036585365854
41,programs/generated/gen_0041,4,81,40,50.0
42,programs/generated/gen_0042,8,6561,3208,48.90243902439025
43,programs/generated/gen_0043,6,729,205,28.15934065934066
44,programs/generated/gen_0044,2,9,0,0.0
45,programs/generated/gen_0045,10,59049,9698,16.423926297249697
46,programs/generated/gen_0046,10,59049,3483,5.898590976832407
47,programs/generated/gen_0047,4,81,40,50.0
48,programs/generated/gen_0048,8,6561,127,1.9359756097560976
49,programs/generated/gen_0049,8,6561,1986,30.274390243902438
50,programs/generated/gen_0050,2,9,4,50.0
51,programs/generated/gen_0051,2,9,0,0.0
52,programs/generated/gen_0052,4,81,52,65.0
53,programs/generated/gen_0053,2,9,4,50.0
54,programs/generated/gen_0054,2,9,0,0.0
55,programs/generated/gen_0055,8,6561,1238,18.871951219512194
56,programs/generated/gen_0056,4,81,31,38.75
57,programs/generated/gen_0057,6,729,0,0.0
58,programs/generated/gen_0058,4,81,3,3.75
59,programs/generated/gen_0059,10,59049,9364,15.85828478525945
60,programs/generated/gen_0060,4,81,37,46.25
61,programs/generated/gen_0061,8,6561,3293,50.198170731707314
62,programs/generated/gen_0062,4,81,39,48.75
63,programs/generated/gen_0063,8,6561,2446,37.28658536585366
64,programs/generated/gen_0064,6,729,1,0.13736263736263737
65,programs/generated/gen_0065,6,729,199,27.335164835164836
66,programs/generated/gen_0066,6,729,217,29.807692307692307
67,programs/generated/gen_0067,4,81,0,0.0
68,programs/generated/gen_0068,8,6561,63,0.9603658536585366
69,programs/generated/gen_0069,6,729,260,35.714285714285715
70,programs/generated/gen_0070,10,59049,13598,23.028722395339386
71,programs/generated/gen_0071,2,9,0,0.0
72,programs/generated/gen_0072,2,9,4,50.0
73,programs/generated/gen_0073,2,9,0,0.0
74,programs/generated/gen_0074,2,9,0,0.0
75,programs/generated/gen_0075,8,6561,72,1.0975609756097562
76,programs/generated/gen_0076,8,6561,801,12.210365853658537
77,programs/generated/gen_0077,6,729,198,27.197802197802197
78,programs/generated/gen_0078,4,81,3,3.75
79,programs/generated/gen_0079,2,9,0,0.0
80,programs/generated/gen_0080,6,729,142,19.505494505494507
81,programs/generated/gen_0081,6,729,0,0.0
82,programs/generated/gen_0082,2,9,4,50.0
83,programs/generated/gen_0083,10,59049,25369,42.96335184934291
84,programs/generated/gen_0084,6,729,0,0.0
85,programs/generated/gen_0085,2,9,4,50.0
86,programs/generated/gen_0086,10,59049,506,0.856929955290611
87,programs/generated/gen_0087,2,9,4,50.0
88,programs/generated/gen_0088,10,59049,16671,28.232963013141852
89,programs/generated/gen_0089,4,81,41,51.25
90,programs/generated/gen_0090,10,59049,7787,13.187576209185748
91,programs/generated/gen_0091,4,81,32,40.0
92,programs/generated/gen_0092,4,81,30,37.5
93,programs/generated/gen_0093,6,729,205,28.15934065934066
94,programs/generated/gen_0094,6,729,15,2.0604395604395602
95,programs/generated/gen_0095,4,81,0,0.0
96,programs/generated/gen_0096,2,9,0,0.0
97,programs/generated/gen_0097,6,729,155,21.291208791208792
98,programs/generated/gen_0098,10,59049,3853,6.525199837420404
99,programs/generated/gen_0099,10,59049,9673,16.381587860723478
100,programs/generated/gen_0100,8,6561,55,0.8384146341463414
101,programs/generated/gen_0101,6,729,142,19.505494505494507
102,programs/generated/gen_0102,6,729,0,0.0
103,programs/generated/gen_0103,4,81,41,51.25
104,programs/generated/gen_0104,6,729,131,17.994505494505493
105,programs/generated/gen_0105,4,81,30,37.5
106,programs/generated/gen_0107,4,81,27,33.75
107,programs/generated/gen_0108,2,9,0,0.0
108,programs/generated/gen_0109,10,59049,33962,57.515919252133855
109,programs/generated/gen_0110,10,59049,13355,22.617192792304564
110,programs/generated/gen_0111,8,6561,1515,23.09451219512195
111,programs/generated/gen_0112,10,59049,11182,18.937135889445873
112,programs/generated/gen_0113,8,6561,1746,26.615853658536587
113,programs/generated/gen_0114,8,6561,2222,33.8719512195122
114,programs/generated/gen_0115,6,729,317,43.543956043956044
115,programs/generated/gen_0116,4,81,29,36.25
116,programs/generated/gen_0117,4,81,3,3.75
117,programs/generated/gen_0118,2,9,4,50.0
118,programs/generated/gen_0119,2,9,0,0.0
119,programs/generated/gen_0120,2,9,0,0.0
120,programs/generated/gen_0121,8,6561,2125,32.39329268292683
121,programs/generated/gen_0122,10,59049,212,0.35902994174231134
122,programs/generated/gen_0123,6,729,503,69.0934065934066
123,programs/generated/gen_0124,10,59049,511,0.8653976425958542
124,programs/generated/gen_0125,4,81,30,37.5
125,programs/generated/gen_0126,6,729,160,21.978021978021978
126,programs/generated/gen_0127,8,6561,0,0.0
127,programs/generated/gen_0128,6,729,129,17.71978021978022
128,programs/generated/gen_0129,6,729,0,0.0
129,programs/generated/gen_0130,2,9,4,50.0
130,programs/generated/gen_0131,10,59049,510,0.8637041051348056
131,programs/generated/gen_0132,4,81,39,48.75
132,programs/generated/gen_0133,4,81,3,3.75
133,programs/generated/gen_0134,10,59049,12992,22.00243869394391
134,programs/generated/gen_0135,8,6561,2962,45.15243902439025
135,programs/generated/gen_0136,6,729,0,0.0
136,programs/generated/gen_0137,4,81,0,0.0
137,programs/generated/gen_0138,8,6561,1374,20.945121951219512
138,programs/generated/gen_0139,10,59049,12667,21.452039019103104
139,programs/generated/gen_0140,8,6561,764,11.646341463414634
140,programs/generated/gen_0141,2,9,4,50.0
141,programs/generated/gen_0142,6,729,19,2.60989010989011
142,programs/generated/gen_0143,4,81,30,37.5
143,programs/generated/gen_0144,2,9,4,50.0
144,programs/generated/gen_0145,6,729,248,34.065934065934066
145,programs/generated/gen_0146,10,59049,36866,62.433952039019104
146,programs/generated/gen_0147,6,729,142,19.505494505494507
147,programs/generated/gen_0148,6,729,439,60.3021978021978
148,programs/generated/gen_0149,4,81,52,65.0
149,programs/generated/gen_0150,2,9,4,50.0
150,programs/generated/gen_0151,8,6561,124,1.8902439024390243
151,programs/generated/gen_0152,6,729,191,26.236263736263737
152,programs/generated/gen_0153,8,6561,119,1.8140243902439024
153,programs/generated/gen_0154,4,81,30,37.5
154,programs/generated/gen_0155,8,6561,1788,27.25609756097561
155,programs/generated/gen_0156,8,6561,2039,31.08231707317073
156,programs/generated/gen_0157,8,6561,1,0.01524390243902439
157,programs/generated/gen_0158,10,59049,25215,42.70254708034142
158,programs/generated/gen_0159,8,6561,919,14.009146341463415
159,programs/generated/gen_0160,2,9,0,0.0
160,programs/generated/gen_0161,6,729,329,45.19230769230769
161,programs/generated/gen_0162,4,81,0,0.0
162,programs/generated/gen_0163,8,6561,814,12.408536585365853
163,programs/generated/gen_0164,4,81,30,37.5
164,programs/generated/gen_0165,6,729,142,19.505494505494507
165,programs/generated/gen_0166,4,81,3,3.75
166,programs/generated/gen_0167,10,59049,9694,16.4171521474055
167,programs/generated/gen_0168,2,9,2,25.0
168,programs/generated/gen_0169,8,6561,1382,21.067073170731707
169,programs/generated/gen_0170,8,6561,1960,29.878048780487806
170,programs/generated/gen_0171,8,6561,830,12.652439024390244
171,programs/generated/gen_0172,4,81,14,17.5
172,programs/generated/gen_0173,2,9,4,50.0
173,programs/generated/gen_0174,4,81,30,37.5
174,programs/generated/gen_0175,8,6561,168,2.5609756097560976
175,programs/generated/gen_0176,4,81,27,33.75
176,programs/generated/gen_0177,10,59049,0,0.0
177,programs/generated/gen_0178,2,9,4,50.0
178,programs/generated/gen_0179,6,729,0,0.0
