inst_idx,program_dir,s,num_scenarios,rank_of_true_optimum,percentile_rank_of_true_optimum
0,programs/generated/gen_0000,2,9,0,0.0
1,programs/generated/gen_0001,2,9,0,0.0
2,programs/generated/gen_0002,8,6561,2121,32.332317073170735
3,programs/generated/gen_0003,8,6561,2617,39.89329268292683
4,programs/generated/gen_0004,6,729,0,0.0
5,programs/generated/gen_0005,6,729,202,27.747252747252748
6,programs/generated/gen_0006,8,6561,1634,24.908536585365855
7,programs/generated/gen_0007,6,729,0,0.0
8,programs/generated/gen_0008,8,6561,785,11.966463414634147
9,programs/generated/gen_0009,6,729,124,17.032967032967033
10,programs/generated/gen_0010,4,81,21,26.25
11,programs/generated/gen_0011,10,59049,511,0.8653976425958542
12,programs/generated/gen_0012,4,81,0,0.0
13,programs/generated/gen_0013,2,9,0,0.0
14,programs/generated/gen_0014,4,81,12,15.0
15,programs/generated/gen_0015,6,729,172,23.626373626373628
16,programs/generated/gen_0016,6,729,29,3.9835164835164836
17,programs/generated/gen_0017,10,59049,19811,33.550670640834575
18,programs/generated/gen_0018,8,6561,1328,20.24390243902439
19,programs/generated/gen_0019,2,9,1,12.5
20,programs/generated/gen_0020,8,6561,1764,26.890243902439025
21,programs/generated/gen_0021,8,6561,1053,16.051829268292682
22,programs/generated/gen_0022,2,9,0,0.0
23,programs/generated/gen_0023,8,6561,2507,38.21646341463415
24,programs/generated/gen_0024,4,81,22,27.5
25,programs/generated/gen_0025,2,9,2,25.0
26,programs/generated/gen_0026,8,6561,723,11.021341463414634
27,programs/generated/gen_0027,10,59049,3817,6.4642324888226526
28,programs/generated/gen_0028,4,81,24,30.0
29,programs/generated/gen_0029,10,59049,453,0.7671724698550332
30,programs/generated/gen_0030,8,6561,7,0.10670731707317073
31,programs/generated/gen_0031,4,81,4,5.0
32,programs/generated/gen_0032,2,9,1,12.5
33,programs/generated/gen_0033,8,6561,562,8.567073170731707
34,programs/generated/gen_0034,6,729,192,26.373626373626372
35,programs/generated/gen_0035,2,9,1,12.5
36,programs/generated/gen_0036,4,81,21,26.25
37,programs/generated/gen_0037,2,9,1,12.5
38,programs/generated/gen_0038,2,9,1,12.5
39,programs/generated/gen_0039,2,9,1,12.5
40,programs/generated/gen_0040,8,6561,3299,50.28963414634146
41,programs/generated/gen_0041,4,81,20,25.0
42,programs/generated/gen_0042,8,6561,1543,23.521341463414632
43,programs/generated/gen_0043,6,729,93,12.774725274725276
44,programs/generated/gen_0044,2,9,0,0.0
45,programs/generated/gen_0045,10,59049,5567,9.42792304565777
46,programs/generated/gen_0046,10,59049,3987,6.7521338572009215
47,programs/generated/gen_0047,4,81,20,25.0
48,programs/generated/gen_0048,8,6561,8,0.12195121951219512
49,programs/generated/gen_0049,8,6561,1787,27.240853658536587
50,programs/generated/gen_0050,2,9,1,12.5
51,programs/generated/gen_0051,2,9,0,0.0
52,programs/generated/gen_0052,4,81,17,21.25
53,programs/generated/gen_0053,2,9,2,25.0
54,programs/generated/gen_0054,2,9,0,0.0
55,programs/generated/gen_0055,8,6561,1223,18.64329268292683
56,programs/generated/gen_0056,4,81,33,41.25
57,programs/generated/gen_0057,6,729,0,0.0
58,programs/generated/gen_0058,4,81,0,0.0
59,programs/generated/gen_0059,10,59049,9995,16.92690692318114
60,programs/generated/gen_0060,4,81,19,23.75
61,programs/generated/gen_0061,8,6561,3166,48.26219512195122
62,programs/generated/gen_0062,4,81,17,21.25
63,programs/generated/gen_0063,8,6561,1519,23.15548780487805
64,programs/generated/gen_0064,6,729,12,1.6483516483516483
65,programs/generated/gen_0065,6,729,44,6.043956043956044
66,programs/generated/gen_0066,6,729,154,21.153846153846153
67,programs/generated/gen_0067,4,81,4,5.0
68,programs/generated/gen_0068,8,6561,7,0.10670731707317073
69,programs/generated/gen_0069,6,729,101,13.873626373626374
70,programs/generated/gen_0070,10,59049,9577,16.21900826446281
71,programs/generated/gen_0071,2,9,0,0.0
72,programs/generated/gen_0072,2,9,1,12.5
73,programs/generated/gen_0073,2,9,0,0.0
74,programs/generated/gen_0074,2,9,0,0.0
75,programs/generated/gen_0075,8,6561,55,0.8384146341463414
76,programs/generated/gen_0076,8,6561,1589,24.222560975609756
77,programs/generated/gen_0077,6,729,173,23.763736263736263
78,programs/generated/gen_0078,4,81,0,0.0
79,programs/generated/gen_0079,2,9,0,0.0
80,programs/generated/gen_0080,6,729,139,19.093406593406595
81,programs/generated/gen_0081,6,729,1,0.13736263736263737
82,programs/generated/gen_0082,2,9,1,12.5
83,programs/generated/gen_0083,10,59049,25158,42.606015445061644
84,programs/generated/gen_0084,6,729,0,0.0
85,programs/generated/gen_0085,2,9,1,12.5
86,programs/generated/gen_0086,10,59049,216,0.3658040915865059
87,programs/generated/gen_0087,2,9,1,12.5
88,programs/generated/gen_0088,10,59049,16656,28.20755995122612
89,programs/generated/gen_0089,4,81,21,26.25
90,programs/generated/gen_0090,10,59049,5976,10.120579867226663
91,programs/generated/gen_0091,4,81,18,22.5
92,programs/generated/gen_0092,4,81,27,33.75
93,programs/generated/gen_0093,6,729,96,13.186813186813186
94,programs/generated/gen_0094,6,729,2,0.27472527472527475
95,programs/generated/gen_0095,4,81,3,3.75
96,programs/generated/gen_0096,2,9,0,0.0
97,programs/generated/gen_0097,6,729,129,17.71978021978022
98,programs/generated/gen_0098,10,59049,6870,11.634602357404146
99,programs/generated/gen_0099,10,59049,5543,9.387278146592603
100,programs/generated/gen_0100,8,6561,28,0.4268292682926829
101,programs/generated/gen_0101,6,729,258,35.43956043956044
102,programs/generated/gen_0102,6,729,0,0.0
103,programs/generated/gen_0103,4,81,21,26.25
104,programs/generated/gen_0104,6,729,98,13.461538461538462
105,programs/generated/gen_0105,4,81,15,18.75
106,programs/generated/gen_0107,4,81,12,15.0
107,programs/generated/gen_0108,2,9,0,0.0
108,programs/generated/gen_0109,10,59049,18572,31.452377726595312
109,programs/generated/gen_0110,10,59049,14986,25.379352391274896
110,programs/generated/gen_0111,8,6561,1608,24.51219512195122
111,programs/generated/gen_0112,10,59049,6042,10.232353339655873
112,programs/generated/gen_0113,8,6561,1768,26.951219512195124
113,programs/generated/gen_0114,8,6561,2221,33.85670731707317
114,programs/generated/gen_0115,6,729,213,29.25824175824176
115,programs/generated/gen_0116,4,81,16,20.0
116,programs/generated/gen_0117,4,81,0,0.0
117,programs/generated/gen_0118,2,9,1,12.5
118,programs/generated/gen_0119,2,9,0,0.0
119,programs/generated/gen_0120,2,9,0,0.0
120,programs/generated/gen_0121,8,6561,936,14.268292682926829
121,programs/generated/gen_0122,10,59049,232,0.3929006909632841
122,programs/generated/gen_0123,6,729,220,30.21978021978022
123,programs/generated/gen_0124,10,59049,511,0.8653976425958542
124,programs/generated/gen_0125,4,81,13,16.25
125,programs/generated/gen_0126,6,729,137,18.818681318681318
126,programs/generated/gen_0127,8,6561,127,1.9359756097560976
127,programs/generated/gen_0128,6,729,96,13.186813186813186
128,programs/generated/gen_0129,6,729,0,0.0
129,programs/generated/gen_0130,2,9,1,12.5
130,programs/generated/gen_0131,10,59049,511,0.8653976425958542
131,programs/generated/gen_0132,4,81,19,23.75
132,programs/generated/gen_0133,4,81,0,0.0
133,programs/generated/gen_0134,10,59049,12445,21.076073702750303
134,programs/generated/gen_0135,8,6561,1597,24.34451219512195
135,programs/generated/gen_0136,6,729,0,0.0
136,programs/generated/gen_0137,4,81,4,5.0
137,programs/generated/gen_0138,8,6561,1177,17.942073170731707
138,programs/generated/gen_0139,10,59049,12698,21.504538680395612
139,programs/generated/gen_0140,8,6561,489,7.454268292682927
140,programs/generated/gen_0141,2,9,1,12.5
141,programs/generated/gen_0142,6,729,25,3.434065934065934
142,programs/generated/gen_0143,4,81,15,18.75
143,programs/generated/gen_0144,2,9,1,12.5
144,programs/generated/gen_0145,6,729,388,53.2967032967033
145,programs/generated/gen_0146,10,59049,38199,64.69143747459694
146,programs/generated/gen_0147,6,729,139,19.093406593406595
147,programs/generated/gen_0148,6,729,32,4.395604395604396
148,programs/generated/gen_0149,4,81,17,21.25
149,programs/generated/gen_0150,2,9,1,12.5
150,programs/generated/gen_0151,8,6561,13,0.19817073170731708
151,programs/generated/gen_0152,6,729,0,0.0
152,programs/generated/gen_0153,8,6561,127,1.9359756097560976
153,programs/generated/gen_0154,4,81,16,20.0
154,programs/generated/gen_0155,8,6561,2469,37.63719512195122
155,programs/generated/gen_0156,8,6561,1121,17.088414634146343
156,programs/generated/gen_0157,8,6561,1,0.01524390243902439
157,programs/generated/gen_0158,10,59049,25535,43.24447906787698
158,programs/generated/gen_0159,8,6561,587,8.948170731707316
159,programs/generated/gen_0160,2,9,0,0.0
160,programs/generated/gen_0161,6,729,107,14.697802197802197
161,programs/generated/gen_0162,4,81,6,7.5
162,programs/generated/gen_0163,8,6561,174,2.652439024390244
163,programs/generated/gen_0164,4,81,20,25.0
164,programs/generated/gen_0165,6,729,139,19.093406593406595
165,programs/generated/gen_0166,4,81,0,0.0
166,programs/generated/gen_0167,10,59049,7160,12.12572822110825
167,programs/generated/gen_0168,2,9,0,0.0
168,programs/generated/gen_0169,8,6561,1221,18.61280487804878
169,programs/generated/gen_0170,8,6561,859,13.09451219512195
170,programs/generated/gen_0171,8,6561,1643,25.045731707317074
171,programs/generated/gen_0172,4,81,0,0.0
172,programs/generated/gen_0173,2,9,1,12.5
173,programs/generated/gen_0174,4,81,13,16.25
174,programs/generated/gen_0175,8,6561,127,1.9359756097560976
175,programs/generated/gen_0176,4,81,16,20.0
176,programs/generated/gen_0177,10,59049,511,0.8653976425958542
177,programs/generated/gen_0178,2,9,1,12.5
178,programs/generated/gen_0179,6,729,1,0.13736263736263737
